timestamp,station_id,temperature_celsius,wind_speed_knots,pressure_hpa,humidity_percent,generator_load_percent,energy_consumed_kwh,battery_level_percent,fuel_level_liters,fuel_burn_rate_lph,food_inventory_kg,station_occupancy,predicted_energy,anomaly_prediction,anomaly_status,energy_remaining_kwh,energy_endurance_days,fuel_endurance_days,risk_score,recommended_fuel_litres,energy_status,fuel_status
timestamp,MAITRI,-17.84,14.53,989.64,57.23,96.77,0.35,99.0,24999.9,36.77,4999.99,23.0,0.4193,-1,ANOMALY,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-25.87,30.22,997.41,69.75,73.77,0.41,99.0,24999.82,28.03,4999.99,29.0,0.40739999999999976,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-43.49,59.43,957.17,92.44,90.0,0.51,73.0,24999.72,34.2,4999.98,30.0,0.48609999999999987,-1,ANOMALY,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-22.78,37.42,1010.06,56.39,64.92,0.36,98.52,24999.93,24.67,5000.0,15.0,0.3638999999999998,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-23.14,16.06,991.49,58.2,66.5,0.37,98.52,24999.86,25.27,4999.99,18.0,0.3731999999999999,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-33.12,16.75,990.15,75.34,78.18,0.43,98.52,24999.78,29.71,4999.99,21.0,0.4291000000000001,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-22.42,31.48,988.68,67.99,66.54,0.37,98.52,24999.71,25.29,4999.98,20.0,0.3722,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-25.53,24.02,1004.96,70.72,71.0,0.39,98.52,24999.63,26.98,4999.98,23.0,0.39240000000000014,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-23.33,39.23,995.38,56.88,69.1,0.38,98.52,24999.56,26.26,4999.97,24.0,0.38060000000000016,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-27.27,11.69,990.76,78.85,69.64,0.39,98.52,24999.49,26.46,4999.97,15.0,0.39069999999999994,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-33.19,11.13,1008.19,59.19,76.25,0.42,98.52,24999.41,28.98,4999.96,16.0,0.42200000000000065,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-17.36,19.68,1013.14,50.85,65.63,0.36,98.52,24999.34,24.94,4999.96,31.0,0.38770000000000004,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
timestamp,MAITRI,-30.73,30.74,1008.33,72.66,80.87,0.45,98.52,24999.25,30.73,4999.95,34.0,0.44050000000000045,1,NORMAL,650.0,1636.8672878368166,7.142857142857143,40,2520.0,NORMAL,NORMAL
